Language,Artist,Song,Jury,Public,Total Points,Year,Country,Draw,BPM,Key
Engels,Netta Barzilai,Toy,212,317,529,2018,israel,22,130,E b MINOR
Engels,Eleni Foureira,Fuego,183,253,436,2018,cyprus,25,101,B MINOR
Engels,Cesár Sampson,Nobody but you,271,71,342,2018,austria,5,85,B MINOR
Engels,Michael Schulte,You let me walk alone,204,136,340,2018,germany,11,75,B MAJOR
Italiaans,Ermal Meta & Fabrizio Moro,Non mi avete fatto niente,59,249,308,2018,italy,26,90,G b MAJOR
Engels,Mikolas Josef,Lie to me,66,215,281,2018,czech republic,14,106,G b MAJOR
Engels,Benjamin Ingrosso,Dance you off,253,21,274,2018,sweden,20,109,A b MAJOR
Italiaans,Elina Netsjajeva,La forza,143,102,245,2018,estonia,6,94,D MINOR
Engels,Rasmussen,Higher ground,38,188,226,2018,denmark,15,82,B MINOR
Engels,DoReDoS,My lucky day,94,115,209,2018,moldova,19,122,B MINOR
Albanees,Eugent Bushpepa,Mall,126,58,184,2018,albania,12,190,E MAJOR
Engels,Ieva Zasimauskaitė,When we're old,90,91,181,2018,lithuania,4,179,B b MAJOR
Frans,Madame Monsieur,Mercy,114,59,173,2018,france,13,97,E MINOR
Engels,Equinox,Bones,100,66,166,2018,bulgaria,18,88,G bMINOR
Engels,Alexander Rybak,That's how you write a song,60,84,144,2018,norway,7,104,F MINOR
Engels,Ryan O'Shaughnessy,Together,74,62,136,2018,ireland,24,94,F MAJOR
Engels,Mélovin,Under the ladder,11,119,130,2018,ukraine,1,140,B b MINOR
Engels,Waylon,Outlaw in 'em,89,32,121,2018,netherlands,23,87,B MINOR
Servisch,Sanja Ilić & Balkanika,Nova deca,38,75,113,2018,serbia,10,125,B MINOR
Engels,Jessica Mauboy,We got love,90,9,99,2018,australia,16,114,G MAJOR
Hongaars,AWS,Viszlát nyár,28,65,93,2018,hungary,21,164,E b MINOR
Sloveens,Lea Sirk,"Hvala, ne!",41,23,64,2018,slovenia,3,140,D b MAJOR
Spaans,Alfred & Amaia,Tu canción,43,18,61,2018,spain,2,121,C MAJOR
Engels,SuRie,Storm,23,25,48,2018,united kingdom,9,116,B b MAJOR
Engels,Saara Aalto,Monsters,23,23,46,2018,finlands,17,122,C MINOR
Portugees,Cláudia Pascoal,O jardim,21,18,39,2018,portugal,8,120,A# MAJOR
Engels,Duncan Laurence,Arcade,261,237,498,2019,netherlands,12,72,A MINOR
Italiaans,Mahmood,Soldi,253,219,472,2019,italy,22,95,E b MINOR
Engels,Sergej Lazarev,Scream,244,126,370,2019,russia,5,128,C MAJOR
Engels,Luca Hänni,She got me,212,152,364,2019,switzerland,24,97,B MINOR
Engels,John Lundvik,Too late for love,93,241,334,2019,sweden,9,104,C MAJOR
Engels en Samisch,KEiiNO,Spirit in the sky,291,40,331,2019,norway,15,122,A MINOR
